MCM_lid	PF17855	CL0671	LUAA	8	0	8	Thermoprotei,Methanomicrobia,Halobacteria,Thermoplasmata,Thermococci,Methanopyri,Archaeoglobi,Methanobacteria	1	Archaea
DUF3880	PF12996	no clan	Unassigned	6	4	2	Methanobacteria,Proteobacteria,Thermoprotei,Firmicutes,Cyanobacteria,Planctomycetes	2	Archaea,Bacteria
Peptidase_M55	PF04951	no clan	Unassigned	9	6	3	Thermoprotei,Halobacteria,Proteobacteria,Thermococci,Actinobacteria,Thermotogae,Deinococcus-Thermus,Chloroflexi,Firmicutes	2	Archaea,Bacteria
Toxin_YhaV	PF11663	CL0136	Unassigned	2	2	0	Cyanobacteria,Proteobacteria	1	Bacteria
DUF3886	PF13025	no clan	Unassigned	1	1	0	Firmicutes	1	Bacteria
DUF1064	PF06356	no clan	Unassigned	1	1	0	Proteobacteria	1	Bacteria
DUF1062	PF06353	no clan	Unassigned	3	3	0	Actinobacteria,Bacteroidetes,Proteobacteria	1	Bacteria
7TM-7TMR_HD	PF07698	CL0192	LUBA_perm	14	14	0	Proteobacteria,Chlamydiae,Cyanobacteria,Chloroflexi,Thermotogae,Spirochaetes,Fusobacteria,Bacteroidetes,Actinobacteria,Ignavibacteriae,Planctomycetes,Firmicutes,Rhodothermaeota,Aquificae	1	Bacteria
SPP	PF06550	CL0130	Unassigned	5	1	4	Methanomicrobia,Halobacteria,Thermoplasmata,Archaeoglobi,Chloroflexi	2	Archaea,Bacteria
Sucrose_synth	PF00862	CL0113	Unassigned	4	4	0	Proteobacteria,Thermotogae,Cyanobacteria,Firmicutes	1	Bacteria
DUF5763	PF19067	no clan	Unassigned	1	0	1	Halobacteria	1	Archaea
SPW	PF03779	no clan	Unassigned	5	4	1	Chlamydiae,Actinobacteria,Halobacteria,Proteobacteria,Chloroflexi	2	Bacteria,Archaea
RuvA_C	PF07499	CL0214	Unassigned	18	17	1	Actinobacteria,Chlamydiae,Methanomicrobia,Acidobacteria,Cyanobacteria,Chloroflexi,Chlorobi,Proteobacteria,Thermotogae,Deinococcus-Thermus,Bacteroidetes,Fusobacteria,Firmicutes,Ignavibacteriae,Spirochaetes,Planctomycetes,Aquificae,Rhodothermaeota	2	Bacteria,Archaea
AbiJ_NTD4	PF18863	no clan	Unassigned	3	1	2	Thermotogae,Methanobacteria,Thermococci	2	Bacteria,Archaea
PTS_IIB	PF02302	CL0031	Unassigned	12	9	3	Actinobacteria,Halobacteria,Proteobacteria,Chloroflexi,Deinococcus-Thermus,Spirochaetes,Fusobacteria,Firmicutes,Tenericutes,Thermoprotei,Thermococci,Thermotogae	2	Bacteria,Archaea
Ecotin	PF03974	no clan	Unassigned	2	2	0	Acidobacteria,Proteobacteria	1	Bacteria
Cas9_PI2	PF18070	no clan	Unassigned	1	1	0	Firmicutes	1	Bacteria
NTP_transf_3	PF12804	CL0110	LUCA_perm	25	17	8	Thermoprotei,Actinobacteria,Methanomicrobia,Halobacteria,Thermoplasmata,Proteobacteria,Chlamydiae,Thermococci,Acidobacteria,Cyanobacteria,Chloroflexi,Chlorobi,Methanopyri,Archaeoglobi,Methanobacteria,Thermotogae,Deinococcus-Thermus,Bacteroidetes,Spirochaetes,Fusobacteria,Firmicutes,Ignavibacteriae,Planctomycetes,Aquificae,Rhodothermaeota	2	Archaea,Bacteria
GCHY-1	PF02649	CL0334	Unassigned	17	9	8	Thermoprotei,Methanomicrobia,Halobacteria,Thermoplasmata,Proteobacteria,Thermococci,Methanopyri,Archaeoglobi,Methanobacteria,Thermotogae,Spirochaetes,Firmicutes,Chloroflexi,Planctomycetes,Actinobacteria,Aquificae,Deinococcus-Thermus	2	Archaea,Bacteria
